"printer_id","server_name","printer_name","display_name","location","notes","charge_type","default_cost","deleted","deleted_date","disabled","disabled_until","total_jobs","total_pages","total_sheets","reset_by","reset_date","created_date","created_by","modified_date","modified_by","color_detection_mode","device_type","ext_device_function","physical_printer_id","printer_type","serial_number","web_print_enabled","custom1","custom2","custom3","custom4","custom5","custom6","last_usage_date","gcp_printer_id","gcp_enabled","modified_ticks","server_uuid","parent_id","card_reader_ip"
1001,"",!!template printer!!,!!template printer!!,"","",SIZE_TABLE,0.0,N,,N,,0,0,0,,,2024-02-06 04:32:03.826,[setup wizard],2024-02-06 04:32:03.826,[setup wizard],COLOR_PAGE_LEVEL,PRINTER,,"","","",N,"","","","","","",2024-02-06 04:32:03.809,,N,1707161523826,,,
4011,device,d420_1810,device\D420_1810,"","",SIZE_TABLE,0.0,Y,2024-12-08 10:38:59.450,N,,3,3,3,[system],2024-12-06 06:16:24.002,2024-12-06 06:16:24.002,admin,2024-12-08 10:38:59.451,admin,COLOR_STANDARD,EXT_SINDOH_OPENAPI,"FAX,COPIER,SCANNER",net://192.168.2.251,Generic 25C-9,"792080753124",N,"","","","","","",2024-12-06 14:17:07.157,,N,1733621939451,,,
2002,device,삼성테스트1,device\삼성테스트1,"","",SIZE_TABLE,0.0,Y,2024-08-05 10:38:45.985,N,,0,0,0,[system],2024-08-04 16:15:40.095,2024-08-04 16:15:40.101,admin,2024-08-05 10:38:45.988,admin,COLOR_STANDARD,EXT_HP-OXPD,"SCANNER,COPIER,FAX",net://192.168.2.252,Samsung X5280,CNB1R881V1,N,"","","","","","",2024-08-04 16:15:40.088,,N,1722821925988,,,
1004,desktop-e43b43b,find-me-que,desktop-e43b43b\find-me-que,"","",SIZE_TABLE,0.0,N,,N,,0,0,0,[system],2024-02-06 04:32:18.677,2024-02-06 04:32:18.677,[system] (print),2024-05-04 22:52:45.499,admin,COLOR_PAGE_LEVEL,VIRTUAL_QUEUE,,local://desktop-e43b43b/LPT1,SINDOH D420/CM Series PCL,"",N,"","","","","","",2024-02-06 04:32:18.676,,N,1714830765499,,,
4013,device,d420_1810,device\D420_1810,"","",SIZE_TABLE,0.0,Y,2024-12-08 16:03:37.507,N,,0,0,0,[system],2024-12-08 15:56:39.321,2024-12-08 15:56:39.322,admin,2024-12-08 16:03:37.508,admin,COLOR_STANDARD,EXT_SINDOH_OPENAPI,"FAX,COPIER,SCANNER",net://192.168.2.251,"","",N,"","","","","","",2024-12-08 15:56:39.308,,N,1733641417508,,,
4008,desktop-e43b43b,d420_1810,desktop-e43b43b\D420_1810,"","",SIZE_TABLE,0.0,N,,N,,17,20,20,[system],2024-11-13 16:36:04.106,2024-11-13 16:36:04.106,[system] (print),2024-11-14 00:55:01.003,[system],COLOR_PAGE_LEVEL,PRINTER,,net://192.168.2.251/print,Generic 25C-9,"792080753124",N,"","","","","","",2024-12-08 16:30:43.309,,N,1731513301003,,,
1003,desktop-e43b43b,hq_d450,desktop-e43b43b\HQ_D450,"","",SIZE_TABLE,0.0,Y,2024-08-07 15:43:31.126,N,,18,50,41,[system],2024-02-06 04:32:18.495,2024-02-06 04:32:18.496,[system] (print),2024-08-07 15:43:31.130,admin,COLOR_PAGE_LEVEL,PRINTER,,net://192.168.2.250,Generic 25C-0i,"800130239114",N,"","","","","","",2024-07-10 14:15:12.031,,N,1723013011130,,,
1002,desktop-e43b43b,node1810_d420,desktop-e43b43b\node1810_D420,"","",SIZE_TABLE,0.0,Y,2024-08-07 15:44:02.129,N,,2,8,4,[system],2024-02-06 04:32:18.284,2024-02-06 04:32:18.284,[system] (print),2024-08-07 15:44:02.129,admin,COLOR_PAGE_LEVEL,PRINTER,,net://192.168.2.251/print,Generic 25C-9,"792080753124",N,"","","","","","",2024-04-18 18:55:10.184,,N,1723013042129,,,
2003,device,삼성테스트1,device\삼성테스트1,"","",SIZE_TABLE,0.0,Y,2024-08-30 12:34:58.696,N,,0,0,0,[system],2024-08-05 11:08:20.663,2024-08-05 11:08:20.664,admin,2024-08-30 12:34:58.703,admin,COLOR_STANDARD,EXT_HP-OXPD,"SCANNER,COPIER,FAX",net://192.168.2.252,Samsung X5280,CNB1R881V1,N,"","","","","","",2024-08-05 11:08:20.659,,N,1724988898703,,,
4007,desktop-e43b43b,stx1810,desktop-e43b43b\STX1810,"","",SIZE_TABLE,0.0,Y,2024-11-13 16:37:49.673,N,,0,0,0,[system],2024-11-13 16:35:24.909,2024-11-13 16:35:24.909,[system] (print),2024-11-13 16:37:49.673,admin,COLOR_PAGE_LEVEL,PRINTER,,net://192.168.2.251/print,Generic 25C-9,"792080753124",N,"","","","","","",2024-11-13 16:35:24.904,,N,1731483469673,,,
4004,device,d420_1810,device\D420_1810,"1810","",SIZE_TABLE,0.0,Y,2024-11-13 15:45:04.880,N,,0,0,0,[system],2024-11-13 15:35:38.043,2024-11-13 15:35:38.048,admin,2024-11-13 15:45:04.883,admin,COLOR_STANDARD,EXT_SINDOH_OPENAPI,"COPIER,SCANNER",net://192.168.2.251,Generic 25C-9,"792080753124",N,"","","","","","",2024-11-13 15:35:37.963,,N,1731480304883,,,
4005,device,d420,device\D420,"1810","",SIZE_TABLE,0.0,Y,2024-11-13 16:04:54.403,N,,0,0,0,[system],2024-11-13 16:02:16.162,2024-11-13 16:02:16.162,admin,2024-11-13 16:04:54.404,admin,COLOR_STANDARD,EXT_SINDOH_OPENAPI,"FAX,COPIER,SCANNER",net://192.168.2.251,"","",N,"","","","","","",2024-11-13 16:02:16.158,,N,1731481494404,,,
3005,desktop-e43b43b,hq_d450,desktop-e43b43b\HQ_D450,"","",SIZE_TABLE,0.0,Y,2024-11-13 16:37:39.726,N,,0,0,0,[system],2024-08-08 04:41:12.525,2024-08-08 04:41:12.525,[system] (print),2024-11-13 16:37:39.727,admin,COLOR_PAGE_LEVEL,PRINTER,,net://192.168.2.248,Generic 25C-0i,"800130239114",N,"","","","","","",2024-08-08 04:41:12.519,,N,1731483459727,,,
3003,desktop-e43b43b,hq컬러,desktop-e43b43b\HQ컬러,"","",SIZE_TABLE,0.0,Y,2024-11-13 16:37:44.789,N,,4,9,7,[system],2024-08-07 15:40:00.734,2024-08-07 15:40:00.802,[system] (print),2024-11-13 16:37:44.789,admin,COLOR_PAGE_LEVEL,PRINTER,,net://192.168.2.248,KONICA MINOLTA C360iSeriesPCL,"800130239114",N,"","","","","","",2024-09-19 17:30:56.081,,N,1731483464789,,,
3004,desktop-e43b43b,stx1810흑백,desktop-e43b43b\STX1810흑백,"","",SIZE_TABLE,0.0,Y,2024-11-13 16:37:53.503,N,,0,0,0,[system],2024-08-07 15:40:59.582,2024-08-07 15:40:59.583,[system] (print),2024-11-13 16:37:53.503,admin,COLOR_PAGE_LEVEL,PRINTER,,net://192.168.2.251/print,Generic 25C-9,"792080753124",N,"","","","","","",2024-08-07 15:40:59.578,,N,1731483473503,,,
