"printer_id","attrib_value","modified_ticks","propagate","attrib_name"
1001,"0.0",1733645659188,Y,default-grayscale-cost
1001,SHARED,1733645663584,Y,override-no-popup-shared-account-action
1002,Y,1733645663584,Y,archiving.enabled
1002,"",1733645663579,Y,filter.allowed-groups.value
1002,"0.0",1733645663552,Y,cost.pst.a4.color.duplex
1002,N,1733645663583,Y,device-filter.color-copy-groups.active
1002,N,1733645663583,Y,device-filter.login-groups.active
1002,PRINT_NEW_NO_REPLAY,1733645663584,Y,fail.action
1002,N,1733645663584,Y,watermark.enabled
1002,"0.0",1733645663552,Y,default-grayscale-cost
1002,"0.0",1733645663552,Y,cost.pst.a4.color.simplex
1002,N,1733645663579,Y,filter.allowed-groups.active
1002,N,1733645663556,Y,filter.convert-to-grayscale.active
1002,N,1733645663584,Y,override-no-popup-charge-personal
1002,N,1733645663579,Y,filter.document-size.active
1002,N,1733645663584,Y,override-user-level-settings
1002,N,1733645663579,Y,filter.duplicate-doc.active
1002,"0.0",1733645663552,Y,cost.pst.a4.grayscale.simplex
1002,N,1733645663584,Y,redirect.target-overrides-settings
1002,N,1733645663579,Y,filter.maxcopies.active
1002,N,1733645663579,Y,filter.colormode.active
1002,Y,1733645663552,Y,cost.pst.a3.enabled
1002,N,1733645663584,Y,snmpv3.enabled
1002,"",1733645663584,Y,charge-rates
1002,"127.0.0.1",1733645663692,N,server.remote-address
1002,N,1733645663579,Y,filter.maxcost.active
1002,"0.0",1733645663552,Y,cost.pst.default.color.simplex
1002,"0.0",1733645663552,Y,cost.pst.a3.grayscale.simplex
1002,"0.0",1733645663552,Y,cost.pst.a3.color.simplex
1002,DISABLED,1733645663584,Y,release-station.mode
1002,Y,1733645663552,Y,cost.pst.default.enabled
1002,N,1733645663691,Y,script.enabled
1002,N,1733645663579,Y,filter.docnames.active
1002,N,1733645663584,Y,hw-check.enabled
1002,"",1733645663584,Y,redirect.compatible-queues
1002,"0.0",1733645663552,Y,cost.pst.a3.color.duplex
1002,"0.0",1733645663552,Y,cost.pst.a4.grayscale.duplex
1002,"0.0",1733645663552,Y,cost.pst.default.grayscale.simplex
1002,N,1733645663579,Y,filter.pages.active
1002,N,1733645663584,Y,charge-rates.user-must-select
1002,N,1733645663556,Y,filter.convert-to-duplex.active
1002,"0.0",1733645663552,Y,cost.pst.a3.grayscale.duplex
1002,"0.0",1733645663552,Y,cost.pst.default.grayscale.duplex
1002,N,1733645663579,Y,filter.papersize.active
1002,N,1733645663584,Y,override-no-popup-charge-shared
1002,Y,1733645663552,Y,cost.pst.a4.enabled
1002,N,1733645663584,Y,unauthenticated
1002,"0.0",1733645663552,Y,cost.pst.default.color.duplex
1002,N,1733645663580,Y,filter.allowed-color-groups.active
1002,"",1733645663580,Y,filter.allowed-color-groups.value
1002,Y,1733645663556,Y,filter.restricted-only
1002,N,1733645663579,Y,filter.duplexmode.active
1002,"15",1733645663713,N,server.env-version
1002,WIN,1733645663713,N,server.spooler-type
1003,Y,1733645663885,Y,archiving.enabled
1003,"",1733645663885,Y,filter.allowed-groups.value
1003,"0.0",1733645663885,Y,cost.pst.a4.color.duplex
1003,N,1733645663885,Y,device-filter.color-copy-groups.active
1003,N,1733645663885,Y,device-filter.login-groups.active
1003,PRINT_NEW_NO_REPLAY,1733645663885,Y,fail.action
1003,N,1733645663885,Y,watermark.enabled
1003,"0.0",1733645663885,Y,default-grayscale-cost
1003,"0.0",1733645663885,Y,cost.pst.a4.color.simplex
1003,N,1733645663885,Y,filter.allowed-groups.active
1003,N,1733645663885,Y,filter.convert-to-grayscale.active
1003,N,1733645663885,Y,override-no-popup-charge-personal
1003,N,1733645663885,Y,filter.document-size.active
1003,N,1733645663885,Y,override-user-level-settings
1003,N,1733645663885,Y,filter.duplicate-doc.active
1003,"0.0",1733645663885,Y,cost.pst.a4.grayscale.simplex
1003,N,1733645663885,Y,redirect.target-overrides-settings
1003,N,1733645663885,Y,filter.maxcopies.active
1003,N,1733645663885,Y,filter.colormode.active
1003,Y,1733645663885,Y,cost.pst.a3.enabled
1003,N,1733645663885,Y,snmpv3.enabled
1003,"",1733645663885,Y,charge-rates
1003,N,1733645663885,Y,filter.maxcost.active
1003,"0.0",1733645663885,Y,cost.pst.default.color.simplex
1003,"0.0",1733645663885,Y,cost.pst.a3.grayscale.simplex
1003,"0.0",1733645663885,Y,cost.pst.a3.color.simplex
1003,DISABLED,1733645663885,Y,release-station.mode
1003,Y,1733645663885,Y,cost.pst.default.enabled
1003,N,1733645663885,Y,script.enabled
1003,N,1733645663885,Y,filter.docnames.active
1003,N,1733645663885,Y,hw-check.enabled
1003,"",1733645663885,Y,redirect.compatible-queues
1003,"0.0",1733645663885,Y,cost.pst.a3.color.duplex
1003,"0.0",1733645663885,Y,cost.pst.a4.grayscale.duplex
1003,"0.0",1733645663885,Y,cost.pst.default.grayscale.simplex
1003,N,1733645663885,Y,filter.pages.active
1003,N,1733645663885,Y,charge-rates.user-must-select
1003,N,1733645663885,Y,filter.convert-to-duplex.active
1003,"0.0",1733645663885,Y,cost.pst.a3.grayscale.duplex
1003,"0.0",1733645663885,Y,cost.pst.default.grayscale.duplex
1003,N,1733645663885,Y,filter.papersize.active
1003,N,1733645663885,Y,override-no-popup-charge-shared
1003,Y,1733645663885,Y,cost.pst.a4.enabled
